pbcIndex;aseIndex;x;y;d;energy;prePES;blr;nsw3;nsw6;energy_cpu;prePES_cpu;nsw3_cpu;nsw6_cpu
0;0;0;0.5;0.3;-818.01030419;-815.40457443;24.9358338110418;-814.51624763;-816.00175433;53129;202;747;1303
1;1;0.0125;0.5;0.3;-818.23026304;-815.39027056;25.052580821242;-814.79715218;-816.26266704;32473;185;754;1296
2;2;0.025;0.5;0.3;-818.47434208;-815.15438495;25.4962335032878;-814.86123941;-816.24822792;29134;188;778;1299
3;3;0.0375;0.5;0.3;-818.74291253;-814.075505;25.5450945753778;-814.55011978;-817.03712708;20009;153;639;1177
4;4;0.05;0.5;0.3;-819.01186543;-812.51867187;25.5688651985599;-813.80282628;-817.21731757;22425;184;634;1170
5;5;0.0625;0.5;0.3;-819.25715951;-809.87100738;25.6135431223029;-812.81365279;-817.37072441;20133;194;797;1372
6;6;0.075;0.5;0.3;-819.50134458;-806.52436163;25.6759479572417;-811.66726408;-816.37379963;28945;194;894;1487
7;7;0.0875;0.5;0.3;-819.74414445;-801.92560665;25.720654838742;-810.3528198;-817.56770623;28401;165;1027;1697
8;8;0.1;0.5;0.3;-819.95223549;-796.49809042;25.7559651002068;-808.11959652;-815.99614357;29095;209;945;1583
9;9;0.1125;0.5;0.3;-820.16635866;-795.69203975;25.559573774611;-805.97194427;-815.58832775;23647;202;962;1634
10;10;0.125;0.5;0.3;-799.03247088;-795.69203975;25.3713818144346;-699.04267879;-812.49241939;77290;187;1111;2389
11;11;0.1375;0.5;0.3;-796.74746665;-795.69203975;25.1486227194185;-553.82659237;-812.49241939;66591;154;1248;2296
12;12;0.15;0.5;0.3;-798.57275523;-795.69203975;25.1875363143587;-725.47008428;-812.49241939;88741;198;1177;2175
13;13;0.1625;0.5;0.3;-796.74746665;-795.69203975;24.8754571827741;-409.58013266;-812.49241939;57784;198;1428;3749
14;14;0.175;0.5;0.3;-796.74746665;-795.69203975;24.5485899308872;-534.14084443;-812.49241939;2894;198;1893;2894
15;15;0.1875;0.5;0.3;-796.74746665;-795.69203975;24.1967461725594;-468.16247131;-812.49241939;6641;154;1631;3418
16;16;0.2;0.5;0.3;-796.74746665;-795.69203975;23.7777515591534;-512.41611928;-812.49241939;5352;195;1555;3570
17;17;0.2125;0.5;0.3;-796.74746665;-795.69203975;23.4022131179227;-463.16245531;-812.49241939;40799;195;1697;3549
18;18;0.225;0.5;0.3;-796.74746665;-795.69203975;22.9556536246891;-393.81609741;-812.49241939;37019;188;1986;4447
19;19;0.2375;0.5;0.3;-797.12440637;-795.69203975;22.5332696767389;-408.73884077;-812.49241939;55343;161;1177;2204
20;20;0.25;0.5;0.3;-797.41275654;-795.69203975;22.2471251320343;-726.69156809;-812.49241939;64505;204;1054;1988
21;21;0.2625;0.5;0.3;-797.70303481;-795.69203975;22.0454739371984;-698.61255821;-812.49241939;59923;196;1086;2105
22;22;0.275;0.5;0.3;-797.98112593;-795.69203975;21.8436990200561;-556.211012;-812.49241939;68329;180;1351;2685
23;23;0.2875;0.5;0.3;-822.87806828;-795.69203975;25.3129882829;-809.16776371;-818.35471424;18494;209;994;1627
24;24;0.3;0.5;0.3;-823.26055821;-801.5831374;21.6430970957529;-811.63739653;-819.66913626;19895;155;993;1573
25;25;0.3125;0.5;0.3;-823.64586971;-807.82883192;21.4522149879168;-814.87422605;-820.47737009;19988;202;993;1568
26;26;0.325;0.5;0.3;-824.05231709;-813.26544686;21.2865281006154;-816.85355688;-821.91046568;22466;197;1114;1678
27;27;0.3375;0.5;0.3;-824.43549581;-817.31781373;21.1367256963786;-818.53551049;-822.24176435;16630;197;912;1471
28;28;0.35;0.5;0.3;-824.82297454;-820.55736365;21.0258965204044;-820.29133412;-823.72006043;22693;210;708;1357
29;29;0.3625;0.5;0.3;-825.16764085;-822.67426176;20.9531486159694;-821.74610688;-824.13509959;19400;202;814;1440
30;30;0.375;0.5;0.3;-825.42612978;-824.31174453;20.9168546529101;-822.38728979;-824.38828034;14008;210;820;1461
31;31;0.3875;0.5;0.3;-825.63195296;-825.10345376;20.9118289959908;-822.56436041;-824.48837151;14487;224;801;1447
32;32;0.4;0.5;0.3;-825.72236198;-825.69203975;20.8813488208803;-822.55316677;-824.49241939;16233;223;805;1474
33;33;0.4125;0.5;0.3;-825.69511481;-825.62099463;20.8784378446176;-822.41256812;-824.30071863;15860;172;838;1511
34;34;0.425;0.5;0.3;-825.59487003;-825.45771615;25.420545421966;-822.16442649;-823.87641184;17574;228;843;1521
35;35;0.4375;0.5;0.3;-825.42379562;-824.71030221;21.3415153085383;-821.77726746;-823.32927936;20318;228;831;1422
36;36;0.45;0.5;0.3;-825.15822748;-823.92869546;21.4208051219362;-821.25715602;-823.02506652;16813;233;864;1461
37;37;0.4625;0.5;0.3;-824.85210514;-822.56670987;21.4711985882922;-820.64774722;-822.6416137;18750;244;796;1402
38;38;0.475;0.5;0.3;-824.48438348;-821.08308563;21.6173575227578;-820.07441733;-822.10978473;18890;212;942;1496
39;39;0.4875;0.5;0.3;-824.0467217;-818.83324048;21.7513954407731;-819.31158876;-821.44098931;19962;250;1081;1605
40;40;0.5;0.5;0.3;-823.56394377;-816.15744811;21.9061860390728;-818.24744264;-821.79844118;21910;466;895;1450
41;41;0.5125;0.5;0.3;-823.0306874;-812.30737202;22.0905293625699;-816.98259971;-819.87069348;19904;336;1328;1871
42;42;0.525;0.5;0.3;-822.41568838;-807.51007949;22.2500514248361;-815.6519664;-818.97663663;24305;297;1185;1788
43;43;0.5375;0.5;0.3;-821.75409054;-800.84487546;22.4335621335577;-814.32592806;-818.00052614;26026;252;1342;1903
44;44;0.55;0.5;0.3;-821.03946873;-795.69203975;22.4307302210865;-813.04590726;-817.05153525;26290;340;1196;1753
45;45;0.5625;0.5;0.3;-820.30173984;-795.69203975;25.5474066907667;-748.02476821;-812.49241939;32141;312;1470;2478
46;46;0.575;0.5;0.3;-796.74746665;-795.69203975;22.4485861650095;-539.05862464;-812.49241939;58355;249;2233;5309
47;47;0.5875;0.5;0.3;-796.74746665;-795.69203975;22.3974629924289;-739.69639943;-812.49241939;1056;241;1056;1056
48;48;0.6;0.5;0.3;-796.74746665;-795.69203975;22.2818911197982;-463.89723477;-812.49241939;1958;278;1958;1958
49;49;0.6125;0.5;0.3;-796.74746665;-795.69203975;22.1313580165182;23.17153366;-812.49241939;12241;255;2584;3859
50;50;0.625;0.5;0.3;-796.74746665;-795.69203975;21.9585970085603;-317.17493862;-812.49241939;3577;186;2558;3577
51;51;0.6375;0.5;0.3;-796.74746665;-795.69203975;22.0463773347538;-389.97801403;-812.49241939;6097;233;2207;5180
52;52;0.65;0.5;0.3;-796.74746665;-795.69203975;22.46412080709;-603.22824584;-812.49241939;968;208;968;968
53;53;0.6625;0.5;0.3;-796.74746665;-795.69203975;22.6218713434254;-579.15781382;-812.49241939;984;257;984;984
54;54;0.675;0.5;0.3;-796.74746665;-795.69203975;22.9895556392279;441.345024;-812.49241939;54238;248;2396;4946
55;55;0.6875;0.5;0.3;-796.74746665;-795.69203975;23.3706365617165;-592.16198766;-812.49241939;38237;250;2058;4286
56;56;0.7;0.5;0.3;-796.74746665;-795.69203975;25.7421710350256;1169.43088684;-812.49241939;7162;265;2447;4223
57;57;0.7125;0.5;0.3;-796.74746665;-795.69203975;23.7144052142626;-601.20903358;-812.49241939;31545;219;2070;4173
58;58;0.725;0.5;0.3;-796.74746665;-795.69203975;23.9914867331559;1119.4794383;-812.49241939;2567;262;2567;2567
59;59;0.7375;0.5;0.3;-796.74746665;-795.69203975;24.1443213866575;-20874551.6028938;-812.49241939;35370;286;2438;5152
60;60;0.75;0.5;0.3;-796.74746665;-795.69203975;24.2543530065179;-600.81791878;-812.49241939;1126;273;1126;1126
61;61;0.7625;0.5;0.3;-796.74746665;-795.69203975;24.3771297591966;-372.5897605;-812.49241939;21497;216;2178;5108
62;62;0.775;0.5;0.3;-796.74746665;-795.69203975;24.51263156888;-534.28160599;-812.49241939;4705;264;2421;4027
63;63;0.7875;0.5;0.3;-796.74746665;-795.69203975;24.639726474714;122.51563423;-812.49241939;11355;269;2124;3273
64;64;0.8;0.5;0.3;-796.74746665;-795.69203975;24.6866848129085;-453.55021067;-812.49241939;1889;260;1889;1889
65;65;0.8125;0.5;0.3;-796.74746665;-795.69203975;24.7441894981138;-730.9791477;-812.49241939;934;204;934;934
66;66;0.825;0.5;0.3;-796.74746665;-795.69203975;24.6944232558467;-585.15917237;-812.49241939;2669;242;1890;2669
67;67;0.8375;0.5;0.3;-817.27280784;-795.69203975;25.7851176524388;-729.88284963;-812.49241939;79457;225;1273;2169
68;68;0.85;0.5;0.3;-817.21615782;-795.69203975;24.5750169357523;-805.22064445;-812.49241939;54956;241;1214;1799
69;69;0.8625;0.5;0.3;-817.29932763;-795.69203975;24.5226754081233;-806.2194288;-812.49241939;58586;200;981;1463
70;70;0.875;0.5;0.3;-817.25264686;-795.96340504;24.5800012852554;-807.28893365;-812.49241939;56699;265;1301;1773
71;71;0.8875;0.5;0.3;-817.28005092;-800.39583641;24.2777309065527;-808.52666393;-812.49241939;42188;265;756;1175
72;72;0.9;0.5;0.3;-817.31095683;-803.9674783;24.3960795301138;-809.77271419;-813.42357182;46513;267;870;1500
73;73;0.9125;0.5;0.3;-817.36506278;-806.50398056;24.4671925303994;-810.77438827;-812.92817717;59515;277;696;1182
74;74;0.925;0.5;0.3;-817.40966553;-808.74235045;24.5571465522665;-811.55397554;-813.42028258;61435;227;698;1184
75;75;0.9375;0.5;0.3;-817.45433012;-810.3525284;24.6660412197579;-812.17177816;-813.88105629;59200;182;830;1430
76;76;0.95;0.5;0.3;-817.45187068;-811.92821432;24.7565795600495;-812.67273424;-814.3496746;43038;186;753;1269
77;77;0.9625;0.5;0.3;-817.5676768;-813.02757325;24.8372158070044;-813.19328901;-814.79481269;69629;211;764;1316
78;78;0.975;0.5;0.3;-817.64976872;-814.15933266;25.8527669317603;-813.66532869;-815.24416101;43410;203;739;1253
79;79;0.9875;0.5;0.3;-817.79031582;-814.80215871;25.5232919202777;-814.10501343;-815.65330685;43009;204;792;1342
